😎	smiling face with sunglasses	awesome|beach|bright|bro|chilling|cool|face|rad|relaxed|shades|slay|smile|style|sunglasses|swag|win|smiling|with
😇	smiling face with halo	angel|angelic|angels|blessed|face|fairy|fairytale|fantasy|halo|happy|innocent|peaceful|smile|smiling|spirit|tale|with
🌹	rose	beauty|elegant|flower|love|plant|red|valentine
🤦	person facepalming	again|bewilder|disbelief|exasperation|facepalm|no|not|oh|omg|person|shock|smh|facepalming
🎉	party popper	awesome|birthday|celebrate|celebration|excited|hooray|party|popper|tada|woohoo
‼️	double exclamation mark	!|!!|bangbang|double|exclamation|mark|punctuation
💞	revolving hearts	143|adorbs|anniversary|emotion|heart|hearts|revolving
✌️	victory hand	hand|peace|v|victory
✨	sparkles	*|magic|sparkle|star
🤷	person shrugging	doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|person|shrug|shrugging|whatever|who
😱	face screaming in fear	epic|face|fear|fearful|munch|scared|scream|screamer|screaming|shocked|surprised|woah|in
😌	relieved face	calm|face|peace|relief|relieved|zen
🌸	cherry blossom	blossom|cherry|flower|plant|spring|springtime
🙌	raising hands	celebration|gesture|hand|hands|hooray|praise|raised|raising
😋	face savoring food	delicious|eat|face|food|full|hungry|savor|smile|smiling|tasty|um|yum|yummy|savoring
💗	growing heart	143|emotion|excited|growing|heart|heartpulse|ily|kisses|muah|nervous|pulse|xoxo
💚	green heart	143|emotion|green|heart|ily|love|romantic
😏	smirking face	boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smug|snicker|suave|suspicious|swag|smirking
💛	yellow heart	143|cardiac|emotion|heart|ily|love|yellow
🙂	slightly smiling face	face|happy|slightly|smile|smiling
💓	beating heart	143|beating|cardio|emotion|heart|heartbeat|ily|love|pulsating|pulse
🤩	star-struck	excited|eyes|face|grinning|smile|star|starry-eyed|wow
😄	grinning face with smiling eyes	eye|eyes|face|grin|grinning|happy|laugh|lol|mouth|open|smile|smiling|with
😀	grinning face	cheerful|cheery|face|grin|grinning|happy|laugh|nice|smile|smiling|teeth
🖤	black heart	black|evil|heart|wicked
😃	grinning face with big eyes	awesome|big|eyes|face|grin|grinning|happy|mouth|open|smile|smiling|teeth|yay|with
💯	hundred points	100|a+|agree|clearly|definitely|faithful|fleek|full|hundred|keep|perfect|point|score|true|truth|yup|points
🙈	see-no-evil monkey	embarrassed|evil|face|forbidden|forgot|gesture|hide|monkey|no|omg|prohibited|scared|secret|smh|watch|see-no-evil
👇	backhand index pointing down	backhand|down|finger|hand|index|point|pointing
🎶	musical notes	music|musical|note|notes|sound
😒	unamused face	...|bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unhappy|weird|whatever
🤭	face with hand over mouth	face|giggle|giggling|hand|mouth|oops|realization|secret|shock|sudden|surprise|whoops|with|over
❣️	heart exclamation	bang|exclamation|heart|heavy|mark|punctuation
❗	red exclamation mark	!|bang|exclamation|mark|punctuation|red
😜	winking face with tongue	crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck-out|tongue|wacky|weirdo|wink|winking|yolo|with
💋	kiss mark	dating|emotion|heart|kiss|kissing|lips|mark|romance|sexy
👀	eyes	body|eye|face|googly|look|looking|omg|peep|see|seeing
😪	sleepy face	crying|face|good|night|sad|sleep|sleeping|sleepy|tired
😑	expressionless face	awkward|dead|expressionless|face|fine|inexpressive|jealous|meh|not|oh|omg|straight|uh|unhappy|unimpressed|whatever
💥	collision	bomb|boom|collide|comic|explode
🙋	person raising hand	gesture|hand|here|know|me|person|pick|question|raise|raising
😞	disappointed face	awful|blame|dejected|disappointed|face|fail|losing|sad|unhappy
😩	weary face	crying|face|fail|feels|hungry|mad|nooo|sad|sleepy|tired|unhappy|weary
😡	enraged face	anger|angry|enraged|face|feels|mad|maddening|pouting|rage|red|shade|unhappy|upset
🤪	zany face	crazy|eye|eyes|face|goofy|large|small|zany
👊	oncoming fist	absolutely|agree|boom|bro|bruh|bump|clenched|correct|fist|hand|knuckle|oncoming|pound|punch|rock|ttyl
☀️	sun	bright|rays|space|sunny|weather
😥	sad but relieved face	anxious|call|close|complicated|disappointed|face|not|relieved|sad|sweat|time|whew|but
🤤	drooling face	drooling|face
👉	backhand index pointing right	backhand|finger|hand|index|point|pointing|right
💃	woman dancing	dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let's|salsa|tango|woman
😳	flushed face	amazed|awkward|crazy|dazed|dead|disbelief|embarrassed|face|flushed|geez|heat|hot|impressed|jeez|what|wow
✋	raised hand	5|five|hand|high|raised|stop
😚	kissing face with closed eyes	143|bae|blush|closed|date|dating|eye|eyes|face|flirt|ily|kisses|kissing|smooches|xoxo|with
😝	squinting face with tongue	closed|eye|eyes|face|gross|horrible|omg|squinting|stuck-out|taste|tongue|whatever|yolo|with
😴	sleeping face	bed|bedtime|face|good|goodnight|nap|night|sleep|sleeping|tired|whatever|yawn|zzz
🌟	glowing star	glittery|glow|glowing|night|shining|sparkle|star|win
😬	grimacing face	awk|awkward|dentist|face|grimace|grimacing|grinning|smile|smiling
🙃	upside-down face	face|hehe|smile|upside-down
🍀	four leaf clover	4|clover|four|four-leaf|irish|leaf|lucky|plant
🌷	tulip	blossom|flower|growth|plant
😻	smiling cat with heart-eyes	animal|cat|eye|face|heart|heart-eyes|love|smile|smiling|with
😓	downcast face with sweat	close|cold|downcast|face|feels|headache|nervous|sad|scared|sweat|yikes|with
⭐	star	astronomy|medium|stars|white
✅	check mark button	✓|button|check|checked|checkmark|complete|completed|done|fixed|mark|tick
🌈	rainbow	gay|genderqueer|glbt|glbtq|lesbian|lgbt|lgbtq|lgbtqia|nature|pride|queer|rain|trans|transgender|weather
😈	smiling face with horns	demon|devil|evil|face|fairy|fairytale|fantasy|horns|purple|shade|smile|smiling|tale|with
🤘	sign of the horns	finger|hand|horns|rock-on|sign|of|the
💦	sweat droplets	comic|drip|droplet|droplets|drops|splashing|squirt|sweat|water|wet|work|workout
✔️	check mark	✓|check|checked|checkmark|done|heavy|mark|tick
😣	persevering face	concentrate|concentration|face|focus|headache|persevere|persevering
🏃	person running	fast|hurry|marathon|move|person|quick|race|racing|run|rush|speed|running
💐	bouquet	anniversary|birthday|date|flower|love|plant|romance
☹️	frowning face	face|frown|frowning|sad
🎊	confetti ball	ball|celebrate|celebration|confetti|party|woohoo
💘	heart with arrow	143|adorbs|arrow|cupid|date|emotion|heart|ily|love|romance|valentine|with
😠	angry face	anger|angry|blame|face|feels|frustrated|mad|maddening|rage|shade|unhappy|upset
☝️	index pointing up	finger|hand|index|point|pointing|this|up
😕	confused face	befuddled|confused|confusing|dunno|face|frown|hm|meh|not|sad|sorry|sure
🌺	hibiscus	flower|plant
🎂	birthday cake	bday|birthday|cake|celebration|dessert|happy|pastry|sweet
🌻	sunflower	flower|outdoors|plant|sun
😐	neutral face	awkward|blank|deadpan|expressionless|face|fine|jealous|meh|neutral|oh|shade|straight|unamused|unhappy|unimpressed|whatever
🖕	middle finger	finger|hand|middle
💝	heart with ribbon	143|anniversary|emotion|heart|ily|kisses|ribbon|valentine|xoxo|with
🙊	speak-no-evil monkey	animal|evil|face|forbidden|gesture|monkey|no|not|oops|prohibited|quiet|secret|speak|stealth|speak-no-evil
😹	cat with tears of joy	animal|cat|face|joy|laugh|laughing|lol|tear|tears|with|of
🗣️	speaking head	face|head|silhouette|speak|speaking
💫	dizzy	comic|shining|shooting|star|stars
💀	skull	body|dead|death|face|fairy|fairytale|i'm|lmao|monster|tale|yolo
👑	crown	clothing|family|king|medieval|queen|royal|royalty|win
🎵	musical note	music|musical|note|sound
🤞	crossed fingers	cross|crossed|finger|fingers|hand|luck
😛	face with tongue	awesome|cool|face|nice|party|stuck-out|sweet|tongue|with
🔴	red circle	circle|geometric|red
😤	face with steam from nose	anger|angry|face|feels|fume|fuming|furious|fury|mad|nose|steam|triumph|unhappy|won|with|from
🌼	blossom	buttercup|dandelion|flower|plant
😫	tired face	cost|face|feels|nap|sad|sneeze|tired
⚽	soccer ball	ball|football|futbol|soccer|sport
🤙	call me hand	call|hand|hang|loose|me|shaka
☕	hot beverage	beverage|cafe|caffeine|chai|coffee|drink|hot|morning|steaming|tea
🏆	trophy	champion|champs|prize|slay|sport|victory|win|winning
🧡	orange heart	143|heart|orange
🎁	wrapped gift	birthday|bow|box|celebration|christmas|gift|present|surprise|wrapped
⚡	high voltage	danger|electric|electricity|high|lightning|nature|thunder|thunderbolt|voltage|zap
🌞	sun with face	beach|bright|day|face|heat|shine|sun|sunny|sunshine|weather|with
🎈	balloon	birthday|celebrate|celebration
❌	cross mark	×|cancel|cross|mark|multiplication|multiply|x
✊	raised fist	clenched|fist|hand|punch|raised|solidarity
👋	waving hand	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|ttfn|ttyl|wave|yo|you|waving
😲	astonished face	astonished|cost|face|no|omg|shocked|totally|way
🌿	herb	leaf|plant
🤫	shushing face	face|quiet|shh|shush|shushing
👈	backhand index pointing left	backhand|finger|hand|index|left|point|pointing
😮	face with open mouth	believe|face|forgot|mouth|omg|open|shocked|surprised|sympathy|unbelievable|unreal|whoa|wow|you|with
🙆	person gesturing ok	exercise|gesture|gesturing|hand|ok|omg|person
🍻	clinking beer mugs	alcohol|bar|beer|booze|bottoms|cheers|clink|clinking|drinking|drinks|mugs
🍃	leaf fluttering in wind	blow|flutter|fluttering|leaf|wind|in
🐶	dog face	adorbs|animal|dog|face|pet|puppies|puppy
💁	person tipping hand	fetch|flick|flip|gossip|hand|person|sarcasm|sarcastic|sassy|seriously|tipping|whatever
😰	anxious face with sweat	anxious|blue|cold|eek|face|mouth|nervous|open|rushed|scared|sweat|yikes|with
🤨	face with raised eyebrow	disapproval|disbelief|distrust|emoji|eyebrow|face|hmm|mild|raised|skeptic|skeptical|skepticism|surprise|what|with
😶	face without mouth	awkward|blank|expressionless|face|mouth|mouthless|mute|quiet|secret|silence|silent|speechless|without
🤝	handshake	agreement|deal|hand|meeting|shake
🚶	person walking	amble|gait|hike|man|pace|pedestrian|person|stride|stroll|walk|walking
💰	money bag	bag|bank|bet|billion|cash|cost|dollar|gold|million|money|moneybag|paid|paying|pot|rich|win
🍓	strawberry	berry|fruit
💢	anger symbol	anger|angry|comic|mad|symbol|upset
🇺🇸	flag: united states	flag|flag:|united|states
🤟	love-you gesture	fingers|gesture|hand|ily|love|love-you|three|you
🙁	slightly frowning face	face|frown|frowning|sad|slightly
🚨	police car light	alarm|alert|beacon|car|emergency|light|police|revolving|siren
💨	dashing away	away|cloud|comic|dash|dashing|fart|fast|go|gone|gotta|running|smoke
🤬	face with symbols on mouth	censor|cursing|cussing|face|mad|mouth|pissed|swearing|symbols|with|on
✈️	airplane	aeroplane|fly|flying|jet|plane|travel
🎀	ribbon	celebration
🍺	beer mug	alcohol|ale|bar|beer|booze|drink|drinking|drinks|mug|octoberfest|oktoberfest|pint|stein|summer
🤓	nerd face	brainy|clever|expert|face|geek|gifted|glasses|intelligent|nerd|smart
😙	kissing face with smiling eyes	143|closed|date|dating|eye|eyes|face|flirt|ily|kiss|kisses|kissing|love|night|smile|smiling|with
💟	heart decoration	143|decoration|emotion|heart|hearth|purple|white
🌱	seedling	plant|sapling|sprout|young
😖	confounded face	annoyed|confounded|confused|cringe|distraught|face|feels|frustrated|mad|sad
👶	baby	babies|children|goo|infant|newborn|pregnant|young
▶️	play button	arrow|button|play|right|triangle
➡️	right arrow	arrow|cardinal|direction|east|right
❓	red question mark	?|mark|punctuation|question|red
💎	gem stone	diamond|engagement|gem|jewel|money|romance|stone|wedding
💸	money with wings	bank|banknote|bill|billion|cash|dollar|fly|million|money|note|pay|wings|with
⬇️	down arrow	arrow|cardinal|direction|down|south
😨	fearful face	afraid|anxious|blame|face|fear|fearful|scared|worried
🌚	new moon face	face|moon|new|space
🦋	butterfly	insect|pretty
😷	face with medical mask	cold|dentist|dermatologist|doctor|dr|face|germs|mask|medical|medicine|sick|with
🕺	man dancing	dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let's|man|salsa|tango
⚠️	warning	caution
🙅	person gesturing no	forbidden|gesture|hand|no|not|person|prohibit|gesturing
😟	worried face	anxious|butterflies|face|nerves|nervous|sad|stress|stressed|surprised|worried|worry
😵	face with crossed-out eyes	crossed-out|dead|dizzy|eyes|face|feels|knocked|out|sick|tired|with
👎	thumbs down	-1|bad|dislike|down|good|hand|no|nope|thumb|thumbs
🤲	palms up together	cupped|dua|hands|palms|pray|prayer|together|up|wish
🤠	cowboy hat face	cowboy|cowgirl|face|hat
🤧	sneezing face	face|fever|flu|gesundheit|sick|sneeze|sneezing
📌	pushpin	collage|pin
🔵	blue circle	blue|circle|geometric
💅	nail polish	bored|care|cosmetics|done|makeup|manicure|nail|polish|whatever
🧐	face with monocle	classy|face|fancy|monocle|rich|stuffy|wealthy|with
🐾	paw prints	feet|paw|paws|print|prints
🍒	cherries	berries|cherry|fruit|red
😗	kissing face	143|date|dating|face|flirt|ily|kiss|love|smooch|smooches|xoxo|you|kissing
🤑	money-mouth face	face|money|money-mouth|mouth|paid
🚀	rocket	launch|rockets|space|travel
🌊	water wave	nature|ocean|surf|surfer|surfing|water|wave
🤯	exploding head	blown|explode|exploding|head|mind|mindblown|no|shocked|way
🐷	pig face	animal|bacon|face|farm|pig|pork
☎️	telephone	phone
💧	droplet	cold|comic|drop|nature|sad|sweat|tear|water|weather
😯	hushed face	epic|face|hushed|omg|stunned|surprised|whoa|woah
💆	person getting massage	face|getting|headache|massage|person|relax|relaxing|salon|soothe|spa|tension|therapy|treatment
👆	backhand index pointing up	backhand|finger|hand|index|point|pointing|up
🎤	microphone	karaoke|mic|music|sing|sound
🙇	person bowing	apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|person|pity|regret|sorry
🍑	peach	fruit
❄️	snowflake	cold|snow|weather
🌴	palm tree	beach|palm|plant|tree|tropical
🇧🇷	flag: brazil	flag|flag:|brazil
💣	bomb	boom|comic|dangerous|explosion|hot
🐸	frog	animal|face
💌	love letter	heart|letter|love|mail|romance|valentine
📍	round pushpin	location|map|pin|pushpin|round
🥀	wilted flower	dying|flower|wilted
🤢	nauseated face	face|gross|nasty|nauseated|sick|vomit
👅	tongue	body|lick|slurp
💡	light bulb	bulb|comic|electric|idea|light
💩	pile of poo	bs|comic|doo|dung|face|fml|monster|pile|poo|poop|smelly|smh|stink|stinks|stinky|turd|of
⁉️	exclamation question mark	!|!?|?|exclamation|interrobang|mark|punctuation|question
👐	open hands	hand|hands|hug|jazz|open|swerve
📸	camera with flash	camera|flash|video|with
👻	ghost	boo|creature|excited|face|fairy|fairytale|fantasy|halloween|haunting|monster|scary|silly|tale
🤐	zipper-mouth face	face|keep|mouth|quiet|secret|shut|zip|zipper|zipper-mouth
🤮	face vomiting	barf|ew|face|gross|puke|sick|spew|throw|up|vomit|vomiting
🎼	musical score	music|musical|note|score
✍️	writing hand	hand|write|writing
🚩	triangular flag	construction|flag|golf|post|triangular
🍎	red apple	apple|diet|food|fruit|health|red|ripe
🍊	tangerine	c|citrus|fruit|nectarine|orange|vitamin
👼	baby angel	angel|baby|church|face|fairy|fairytale|fantasy|tale
💍	ring	diamond|engaged|engagement|married|romance|shiny|sparkling|wedding
📣	megaphone	cheering|sound
🥂	clinking glasses	celebrate|clink|clinking|drink|glass|glasses
⤵️	right arrow curving down	arrow|curving|down|right
📱	mobile phone	cell|communication|mobile|phone|telephone
☔	umbrella with rain drops	clothing|drop|drops|rain|umbrella|weather|with
🌙	crescent moon	crescent|moon|ramadan|space
🍾	bottle with popping cork	bar|bottle|cork|drink|popping|with
🎧	headphone	earbud|sound
🍁	maple leaf	falling|leaf|maple
⭕	hollow red circle	circle|heavy|hollow|large|o|red
🏀	basketball	ball|hoop|sport
☠️	skull and crossbones	bone|crossbones|dead|death|face|monster|skull|and
⚫	black circle	black|circle|geometric
🖐️	hand with fingers splayed	finger|fingers|hand|raised|splayed|stop|with
😧	anguished face	anguished|face|forgot|scared|scary|stressed|surprise|unhappy|what|wow
🎯	bullseye	bull|dart|direct|entertainment|game|hit|target
📲	mobile phone with arrow	arrow|build|call|cell|communication|mobile|phone|receive|telephone|with
☘️	shamrock	irish|plant
👁️	eye	1|body|one
🍷	wine glass	alcohol|bar|beverage|booze|club|drink|drinking|drinks|glass|restaurant|wine
👄	mouth	beauty|body|kiss|kissing|lips|lipstick
🐟	fish	animal|dinner|fishes|fishing|pisces|zodiac
🍰	shortcake	cake|dessert|pastry|slice|sweet
💤	zzz	comic|good|goodnight|night|sleep|sleeping|sleepy|tired
🕊️	dove	bird|fly|ornithology|peace
📺	television	tv|video
💭	thought balloon	balloon|bubble|cartoon|cloud|comic|daydream|decisions|dream|idea|invent|invention|realize|think|thoughts|wonder|thought
🐱	cat face	animal|cat|face|kitten|kitty|pet
🐝	honeybee	animal|bee|bumblebee|honey|insect|nature|spring
🇲🇽	flag: mexico	flag|flag:|mexico
🧚	fairy	fairytale|fantasy|myth|person|pixie|tale|wings
🔝	top arrow	arrow|homie|top|up
📢	loudspeaker	address|communication|loud|public|sound
📷	camera	photo|selfie|snap|tbt|trip|video
🐕	dog	animal|animals|dogs|pet
🎸	guitar	instrument|music|strat
🔫	water pistol	gun|handgun|pistol|revolver|tool|water|weapon
🤚	raised back of hand	back|backhand|hand|raised|of
🍭	lollipop	candy|dessert|food|restaurant|sweet
🍆	eggplant	aubergine|vegetable
💉	syringe	doctor|flu|medicine|needle|shot|sick|tool|vaccination
🌎	globe showing americas	americas|earth|globe|showing|world
😦	frowning face with open mouth	caught|face|frown|frowning|guard|mouth|open|scared|scary|surprise|what|wow|with
🌀	cyclone	dizzy|hurricane|twister|typhoon|weather
👿	angry face with horns	angry|demon|devil|evil|face|fairy|fairytale|fantasy|horns|imp|mischievous|purple|shade|tale|with
☑️	check box with check	✓|ballot|box|check|checked|done|off|tick|with
🎥	movie camera	bollywood|camera|cinema|film|hollywood|movie|record
🌧️	cloud with rain	cloud|rain|weather|with
👽	alien	creature|extraterrestrial|face|fairy|fairytale|fantasy|monster|space|tale|ufo
🍋	lemon	citrus|fruit|sour
🤒	face with thermometer	face|ill|sick|thermometer|with
🤡	clown face	clown|face
🍫	chocolate bar	bar|candy|chocolate|dessert|halloween|sweet|tooth
📚	books	book|education|fantasy|knowledge|library|novels|reading|school|study
🏁	chequered flag	checkered|chequered|finish|flag|flags|game|race|racing|sport|win
🤕	face with head-bandage	bandage|face|head-bandage|hurt|injury|ouch|with
🦄	unicorn	face
🍅	tomato	food|fruit|vegetable
🚗	automobile	car|driving|vehicle
🚫	prohibited	entry|forbidden|no|not|smoke
💵	dollar banknote	bank|banknote|bill|currency|dollar|money|note
⚾	baseball	ball|sport
🔪	kitchen knife	chef|cooking|hocho|kitchen|knife|tool|weapon
🔔	bell	break|church|sound
♨️	hot springs	hot|hotsprings|springs|steaming
🌳	deciduous tree	deciduous|forest|green|habitat|shedding|tree
🔊	speaker high volume	high|loud|music|sound|speaker|volume
🍬	candy	cavities|dessert|halloween|restaurant|sweet|tooth|wrapper
💏	kiss	anniversary|babe|bae|couple|date|dating|heart|love|mwah|person|romance|together|xoxo
🍼	baby bottle	babies|baby|birth|born|bottle|drink|infant|milk|newborn
🍜	steaming bowl	bowl|chopsticks|food|noodle|pho|ramen|soup|steaming
🐼	panda	animal|bamboo|face
🙉	hear-no-evil monkey	animal|ears|evil|face|forbidden|gesture|hear|listen|monkey|no|not|prohibited|secret|shh|tmi|hear-no-evil
🐈	cat	animal|animals|cats|kitten|pet
🐻	bear	animal|face|grizzly|growl|honey
🤸	person cartwheeling	active|cartwheel|cartwheeling|excited|flip|gymnastics|happy|person|somersault
🌝	full moon face	bright|face|full|moon
👸	princess	crown|fairy|fairytale|fantasy|queen|royal|royalty|tale
🍕	pizza	cheese|food|hungry|pepperoni|slice
🍌	banana	fruit|potassium
🍦	soft ice cream	cream|dessert|food|ice|icecream|restaurant|serve|soft|sweet
⚪	white circle	circle|geometric|white
👩	woman	adult|lady
😿	crying cat	animal|cat|cry|crying|face|sad|tear
🍂	fallen leaf	autumn|fall|fallen|falling|leaf
📞	telephone receiver	communication|phone|receiver|telephone|voip
⏰	alarm clock	alarm|clock|hours|hrs|late|time|waiting
🔞	no one under eighteen	18|age|eighteen|forbidden|no|not|one|prohibited|restriction|underage|under
🌍	globe showing europe-africa	africa|earth|europe|europe-africa|globe|showing|world
🌠	shooting star	falling|night|shooting|space|star
🙀	weary cat	animal|cat|face|oh|surprised|weary
▪️	black small square	black|geometric|small|square
☁️	cloud	weather
👹	ogre	creature|devil|face|fairy|fairytale|fantasy|mask|monster|scary|tale
🍉	watermelon	fruit
🐥	front-facing baby chick	animal|baby|bird|chick|front-facing|newborn|ornithology
🌶️	hot pepper	hot|pepper
1️⃣	keycap: 1	1|keycap|one|keycap:
🌵	cactus	desert|drought|nature|plant
🇮🇳	flag: india	flag|flag:|india
👧	girl	bright-eyed|child|daughter|granddaughter|kid|virgo|young|younger|zodiac
🍄	mushroom	fungus|toadstool
👮	police officer	apprehend|arrest|citation|cop|law|officer|over|police|pulled|undercover
💮	white flower	flower|white
🐰	rabbit face	animal|bunny|face|pet|rabbit
🔷	large blue diamond	blue|diamond|geometric|large
🌾	sheaf of rice	ear|grain|grains|plant|rice|sheaf|of
🔹	small blue diamond	blue|diamond|geometric|small
🇹🇷	flag: türkiye	flag|flag:|türkiye
🥇	1st place medal	1st|first|gold|medal|place
🇮🇹	flag: italy	flag|flag:|italy
🍪	cookie	chip|chocolate|dessert|sweet
🇦🇷	flag: argentina	flag|flag:|argentina
🛑	stop sign	octagonal|sign|stop
🐍	snake	animal|bearer|ophiuchus|serpent|zodiac
🎓	graduation cap	cap|celebration|clothing|education|graduation|hat|scholar
🇨🇦	flag: canada	flag|flag:|canada
🍏	green apple	apple|fruit|green
🦁	lion	alpha|animal|face|leo|mane|order|rawr|roar|safari|strong|zodiac
😽	kissing cat	animal|cat|closed|eye|eyes|face|kiss|kissing
🚬	cigarette	smoking
🍖	meat on bone	bone|meat|on
🍴	fork and knife	breakfast|breaky|cooking|cutlery|delicious|dinner|eat|feed|food|fork|hungry|knife|lunch|restaurant|yum|yummy|and
🆘	sos button	button|help|sos
🤜	right-facing fist	fist|right-facing|rightwards
🍿	popcorn	corn|movie|pop
🍔	hamburger	burger|eat|fast|food|hungry
📝	memo	communication|media|notes|pencil
🇯🇵	flag: japan	flag|flag:|japan
🍮	custard	dessert|pudding|sweet
🍇	grapes	dionysus|fruit|grape
2️⃣	keycap: 2	2|keycap|two|keycap:
🏠	house	building|country|heart|home|ranch|settle|simple|suburban|suburbia|where
🤰	pregnant woman	pregnant|woman
🐣	hatching chick	animal|baby|bird|chick|egg|hatching
🐒	monkey	animal|banana
👦	boy	bright-eyed|child|grandson|kid|son|young|younger
🍩	doughnut	breakfast|dessert|donut|food|sweet
🍣	sushi	food
🤛	left-facing fist	fist|left-facing|leftwards
👯	people with bunny ears	bestie|bff|bunny|counterpart|dancer|double|ear|identical|pair|party|partying|people|soulmate|twin|twinsies|with|ears
🏳️‍🌈	rainbow flag	bisexual|flag|gay|genderqueer|glbt|glbtq|lesbian|lgbt|lgbtq|lgbtqia|pride|queer|rainbow|trans|transgender
♠️	spade suit	card|game|spade|suit
🌲	evergreen tree	christmas|evergreen|forest|pine|tree
🐴	horse face	animal|dressage|equine|face|farm|horse|horses
🍛	curry rice	curry|food|rice
🎆	fireworks	boom|celebration|entertainment|yolo
💑	couple with heart	anniversary|babe|bae|couple|dating|heart|kiss|love|person|relationship|romance|together|you|with
🍞	bread	carbs|food|grain|loaf|restaurant|toast|wheat
🍯	honey pot	barrel|bear|food|honey|honeypot|jar|pot|sweet
☄️	comet	space
😸	grinning cat with smiling eyes	animal|cat|eye|eyes|face|grin|grinning|smile|smiling|with
🍚	cooked rice	cooked|food|rice
🎬	clapper board	action|board|clapper|movie
🎙️	studio microphone	mic|microphone|music|studio
🇨🇴	flag: colombia	flag|flag:|colombia
🐳	spouting whale	animal|beach|face|ocean|spouting|whale
🦀	crab	cancer|zodiac
🥃	tumbler glass	glass|liquor|scotch|shot|tumbler|whiskey|whisky
🔸	small orange diamond	diamond|geometric|orange|small
💊	pill	doctor|drugs|medicated|medicine|pills|sick|vitamin
🐎	horse	animal|equestrian|farm|racehorse|racing
🍹	tropical drink	alcohol|bar|booze|club|cocktail|drink|drinking|drinks|drunk|mai|party|tai|tropical|tropics
♦️	diamond suit	card|diamond|game|suit
🔮	crystal ball	ball|crystal|fairy|fairytale|fantasy|fortune|future|magic|tale|tool
👨	man	adult|bro
🍸	cocktail glass	alcohol|bar|booze|club|cocktail|drink|drinking|drinks|glass|mad|martini|men
🌏	globe showing asia-australia	asia|asia-australia|australia|earth|globe|showing|world
👴	old man	adult|bald|elderly|gramps|grandfather|grandpa|man|old|wise
🧢	billed cap	baseball|bent|billed|cap|dad|hat
🐽	pig nose	animal|face|farm|nose|pig|smell|snout
🐔	chicken	animal|bird|ornithology
🎻	violin	instrument|music
⬆️	up arrow	arrow|cardinal|direction|north|up
